Border,Date,Measure,Value,Average
US-Mexico Border,07/01/2004 12:00:00 AM,Personal Vehicles,7614810,7068009
US-Canada Border,07/01/2004 12:00:00 AM,Personal Vehicle Passengers,7512931,6822744
US-Mexico Border,07/01/2004 12:00:00 AM,Pedestrians,4146806,3848312
US-Canada Border,07/01/2004 12:00:00 AM,Personal Vehicles,3273262,2945548
US-Canada Border,07/01/2004 12:00:00 AM,Trucks,548029,542195
US-Canada Border,07/01/2004 12:00:00 AM,Truck Containers Full,467295,375314
US-Canada Border,07/01/2004 12:00:00 AM,Bus Passengers,451135,348331
US-Mexico Border,07/01/2004 12:00:00 AM,Trucks,366672,343404
US-Mexico Border,07/01/2004 12:00:00 AM,Bus Passengers,345435,273631
US-Mexico Border,07/01/2004 12:00:00 AM,Truck Containers Full,228597,186665
US-Canada Border,07/01/2004 12:00:00 AM,Pedestrians,186122,59315
US-Mexico Border,07/01/2004 12:00:00 AM,Truck Containers Empty,140260,144816
US-Canada Border,07/01/2004 12:00:00 AM,Rail Containers Full,115009,87488
US-Canada Border,07/01/2004 12:00:00 AM,Truck Containers Empty,75755,63330
US-Canada Border,07/01/2004 12:00:00 AM,Rail Containers Empty,38966,28528
US-Canada Border,07/01/2004 12:00:00 AM,Train Passengers,29047,20183
US-Mexico Border,07/01/2004 12:00:00 AM,Rail Containers Empty,27905,22362
US-Mexico Border,07/01/2004 12:00:00 AM,Rail Containers Full,25192,18771
US-Mexico Border,07/01/2004 12:00:00 AM,Buses,23671,21750
US-Canada Border,07/01/2004 12:00:00 AM,Buses,17794,14173
US-Canada Border,07/01/2004 12:00:00 AM,Trains,2703,2781
US-Mexico Border,07/01/2004 12:00:00 AM,Train Passengers,962,1200
US-Mexico Border,07/01/2004 12:00:00 AM,Trains,644,598
US-Mexico Border,06/01/2004 12:00:00 AM,Personal Vehicle Passengers,15472223,17569408
US-Mexico Border,06/01/2004 12:00:00 AM,Personal Vehicles,7463593,7064092
US-Canada Border,06/01/2004 12:00:00 AM,Personal Vehicle Passengers,5754678,6833319
US-Mexico Border,06/01/2004 12:00:00 AM,Pedestrians,3802239,3848768
US-Canada Border,06/01/2004 12:00:00 AM,Personal Vehicles,2806868,2946921
US-Canada Border,06/01/2004 12:00:00 AM,Trucks,621375,541411
US-Canada Border,06/01/2004 12:00:00 AM,Truck Containers Full,520658,373875
US-Canada Border,06/01/2004 12:00:00 AM,Bus Passengers,420414,347617
US-Mexico Border,06/01/2004 12:00:00 AM,Trucks,388085,342962
US-Mexico Border,06/01/2004 12:00:00 AM,Bus Passengers,269391,273673
US-Mexico Border,06/01/2004 12:00:00 AM,Truck Containers Full,245220,186085
US-Mexico Border,06/01/2004 12:00:00 AM,Truck Containers Empty,141568,144848
US-Canada Border,06/01/2004 12:00:00 AM,Rail Containers Full,127779,87089
US-Canada Border,06/01/2004 12:00:00 AM,Pedestrians,113083,58782
US-Canada Border,06/01/2004 12:00:00 AM,Truck Containers Empty,83167,63134
US-Canada Border,06/01/2004 12:00:00 AM,Rail Containers Empty,40716,28407
US-Mexico Border,06/01/2004 12:00:00 AM,Rail Containers Empty,28743,22299
US-Mexico Border,06/01/2004 12:00:00 AM,Rail Containers Full,28440,18676
US-Mexico Border,06/01/2004 12:00:00 AM,Buses,21306,21755
US-Canada Border,06/01/2004 12:00:00 AM,Buses,17439,14140
US-Canada Border,06/01/2004 12:00:00 AM,Train Passengers,16285,20222
US-Canada Border,06/01/2004 12:00:00 AM,Trains,2832,2781
US-Mexico Border,06/01/2004 12:00:00 AM,Train Passengers,1050,1202
US-Mexico Border,06/01/2004 12:00:00 AM,Trains,646,597
US-Mexico Border,05/01/2004 12:00:00 AM,Personal Vehicle Passengers,16527608,17579826
US-Mexico Border,05/01/2004 12:00:00 AM,Personal Vehicles,7817421,7056559
US-Canada Border,05/01/2004 12:00:00 AM,Personal Vehicle Passengers,5240205,6849250
US-Mexico Border,05/01/2004 12:00:00 AM,Pedestrians,3994829,3847307
US-Canada Border,05/01/2004 12:00:00 AM,Personal Vehicles,2574290,2950647
US-Canada Border,05/01/2004 12:00:00 AM,Trucks,590540,540919
US-Canada Border,05/01/2004 12:00:00 AM,Truck Containers Full,501015,372603
US-Canada Border,05/01/2004 12:00:00 AM,Bus Passengers,387322,347220
US-Mexico Border,05/01/2004 12:00:00 AM,Trucks,376800,342623
US-Mexico Border,05/01/2004 12:00:00 AM,Bus Passengers,264844,273761
US-Mexico Border,05/01/2004 12:00:00 AM,Truck Containers Full,239846,185547
US-Mexico Border,05/01/2004 12:00:00 AM,Truck Containers Empty,135992,144936
US-Canada Border,05/01/2004 12:00:00 AM,Rail Containers Full,127405,86686
US-Canada Border,05/01/2004 12:00:00 AM,Pedestrians,97398,58396
US-Canada Border,05/01/2004 12:00:00 AM,Truck Containers Empty,77222,62993
US-Canada Border,05/01/2004 12:00:00 AM,Rail Containers Empty,41995,28271
US-Mexico Border,05/01/2004 12:00:00 AM,Rail Containers Empty,31280,22209
US-Mexico Border,05/01/2004 12:00:00 AM,Rail Containers Full,28184,18580
US-Mexico Border,05/01/2004 12:00:00 AM,Buses,21827,21754
US-Canada Border,05/01/2004 12:00:00 AM,Train Passengers,14678,20277
US-Canada Border,05/01/2004 12:00:00 AM,Buses,14526,14137
US-Canada Border,05/01/2004 12:00:00 AM,Trains,2852,2780
US-Mexico Border,05/01/2004 12:00:00 AM,Train Passengers,1057,1203
US-Mexico Border,05/01/2004 12:00:00 AM,Trains,666,596
US-Mexico Border,04/01/2004 12:00:00 AM,Personal Vehicle Passengers,16005488,17595728
US-Mexico Border,04/01/2004 12:00:00 AM,Personal Vehicles,7538112,7051695
US-Canada Border,04/01/2004 12:00:00 AM,Personal Vehicle Passengers,4638758,6871578
US-Mexico Border,04/01/2004 12:00:00 AM,Pedestrians,4025599,3845506
US-Canada Border,04/01/2004 12:00:00 AM,Personal Vehicles,2302627,2957193
US-Canada Border,04/01/2004 12:00:00 AM,Trucks,578979,540535
US-Canada Border,04/01/2004 12:00:00 AM,Truck Containers Full,496071,371356
US-Mexico Border,04/01/2004 12:00:00 AM,Trucks,385200,342193
US-Mexico Border,04/01/2004 12:00:00 AM,Bus Passengers,297457,273522
US-Canada Border,04/01/2004 12:00:00 AM,Bus Passengers,295150,347746
US-Mexico Border,04/01/2004 12:00:00 AM,Truck Containers Full,248076,184916
US-Mexico Border,04/01/2004 12:00:00 AM,Truck Containers Empty,136572,145021
US-Canada Border,04/01/2004 12:00:00 AM,Rail Containers Full,129519,86253
US-Canada Border,04/01/2004 12:00:00 AM,Truck Containers Empty,76199,62860
US-Canada Border,04/01/2004 12:00:00 AM,Pedestrians,40278,58579
US-Canada Border,04/01/2004 12:00:00 AM,Rail Containers Empty,38293,28170
US-Mexico Border,04/01/2004 12:00:00 AM,Rail Containers Empty,31420,22116
US-Mexico Border,04/01/2004 12:00:00 AM,Rail Containers Full,25368,18512
US-Mexico Border,04/01/2004 12:00:00 AM,Buses,22502,21746
US-Canada Border,04/01/2004 12:00:00 AM,Train Passengers,15477,20326
US-Canada Border,04/01/2004 12:00:00 AM,Buses,12115,14157
US-Canada Border,04/01/2004 12:00:00 AM,Trains,2862,2779
US-Mexico Border,04/01/2004 12:00:00 AM,Train Passengers,1017,1205
US-Mexico Border,04/01/2004 12:00:00 AM,Trains,645,596
US-Mexico Border,03/01/2004 12:00:00 AM,Personal Vehicle Passengers,16218883,17609777
US-Mexico Border,03/01/2004 12:00:00 AM,Personal Vehicles,7891407,7043126
US-Canada Border,03/01/2004 12:00:00 AM,Personal Vehicle Passengers,4742473,6893304
US-Mexico Border,03/01/2004 12:00:00 AM,Pedestrians,4464192,3839193
US-Canada Border,03/01/2004 12:00:00 AM,Personal Vehicles,2307106,2963827
US-Canada Border,03/01/2004 12:00:00 AM,Trucks,628185,539641
US-Canada Border,03/01/2004 12:00:00 AM,Truck Containers Full,524750,369791
US-Mexico Border,03/01/2004 12:00:00 AM,Trucks,421153,341387
US-Mexico Border,03/01/2004 12:00:00 AM,Bus Passengers,295450,273298
US-Canada Border,03/01/2004 12:00:00 AM,Bus Passengers,277226,348466
US-Mexico Border,03/01/2004 12:00:00 AM,Truck Containers Full,268100,184067
US-Mexico Border,03/01/2004 12:00:00 AM,Truck Containers Empty,151427,144955
US-Canada Border,03/01/2004 12:00:00 AM,Rail Containers Full,131300,85794
US-Canada Border,03/01/2004 12:00:00 AM,Truck Containers Empty,88166,62601
US-Canada Border,03/01/2004 12:00:00 AM,Rail Containers Empty,42036,28029
US-Mexico Border,03/01/2004 12:00:00 AM,Rail Containers Empty,32108,22014
US-Canada Border,03/01/2004 12:00:00 AM,Pedestrians,29349,58878
US-Mexico Border,03/01/2004 12:00:00 AM,Rail Containers Full,25403,18442
US-Mexico Border,03/01/2004 12:00:00 AM,Buses,22994,21734
US-Canada Border,03/01/2004 12:00:00 AM,Train Passengers,14636,20384
US-Canada Border,03/01/2004 12:00:00 AM,Buses,11687,14182
US-Canada Border,03/01/2004 12:00:00 AM,Trains,3037,2776
US-Mexico Border,03/01/2004 12:00:00 AM,Train Passengers,1160,1206
US-Mexico Border,03/01/2004 12:00:00 AM,Trains,690,595
US-Mexico Border,02/01/2004 12:00:00 AM,Personal Vehicle Passengers,14798054,17638764
US-Mexico Border,02/01/2004 12:00:00 AM,Personal Vehicles,7182510,7041689
US-Canada Border,02/01/2004 12:00:00 AM,Personal Vehicle Passengers,4149933,6921586
US-Mexico Border,02/01/2004 12:00:00 AM,Pedestrians,4010017,3837432
US-Canada Border,02/01/2004 12:00:00 AM,Personal Vehicles,2134564,2972376
US-Canada Border,02/01/2004 12:00:00 AM,Trucks,544406,539591
US-Canada Border,02/01/2004 12:00:00 AM,Truck Containers Full,453693,368926
US-Mexico Border,02/01/2004 12:00:00 AM,Trucks,354664,341251
US-Mexico Border,02/01/2004 12:00:00 AM,Bus Passengers,259904,273436
US-Canada Border,02/01/2004 12:00:00 AM,Bus Passengers,249551,349485
US-Mexico Border,02/01/2004 12:00:00 AM,Truck Containers Full,226656,183628
US-Mexico Border,02/01/2004 12:00:00 AM,Truck Containers Empty,131297,145096
US-Canada Border,02/01/2004 12:00:00 AM,Rail Containers Full,119334,85448
US-Canada Border,02/01/2004 12:00:00 AM,Truck Containers Empty,79017,62432
US-Canada Border,02/01/2004 12:00:00 AM,Rail Containers Empty,35354,27953
US-Canada Border,02/01/2004 12:00:00 AM,Pedestrians,29814,59177
US-Mexico Border,02/01/2004 12:00:00 AM,Rail Containers Empty,25502,21978
US-Mexico Border,02/01/2004 12:00:00 AM,Buses,22036,21730
US-Mexico Border,02/01/2004 12:00:00 AM,Rail Containers Full,20586,18419
US-Canada Border,02/01/2004 12:00:00 AM,Train Passengers,12784,20462
US-Canada Border,02/01/2004 12:00:00 AM,Buses,10413,14221
US-Canada Border,02/01/2004 12:00:00 AM,Trains,2644,2778
US-Mexico Border,02/01/2004 12:00:00 AM,Train Passengers,977,1208
US-Mexico Border,02/01/2004 12:00:00 AM,Trains,603,595
US-Mexico Border,01/01/2004 12:00:00 AM,Personal Vehicle Passengers,15929051,17656574
US-Mexico Border,01/01/2004 12:00:00 AM,Personal Vehicles,7504925,7036864
US-Mexico Border,01/01/2004 12:00:00 AM,Pedestrians,4002387,3835714
US-Canada Border,01/01/2004 12:00:00 AM,Personal Vehicle Passengers,3882454,6953243
US-Canada Border,01/01/2004 12:00:00 AM,Personal Vehicles,2015414,2982344
US-Canada Border,01/01/2004 12:00:00 AM,Trucks,517125,539825
US-Canada Border,01/01/2004 12:00:00 AM,Truck Containers Full,439187,368194
US-Mexico Border,01/01/2004 12:00:00 AM,Trucks,357073,341086
US-Mexico Border,01/01/2004 12:00:00 AM,Bus Passengers,304241,273116
US-Canada Border,01/01/2004 12:00:00 AM,Bus Passengers,246355,350560
US-Mexico Border,01/01/2004 12:00:00 AM,Truck Containers Full,219538,183254
US-Mexico Border,01/01/2004 12:00:00 AM,Truck Containers Empty,137326,145177
US-Canada Border,01/01/2004 12:00:00 AM,Rail Containers Full,106940,85224
US-Canada Border,01/01/2004 12:00:00 AM,Truck Containers Empty,74819,62303
US-Canada Border,01/01/2004 12:00:00 AM,Rail Containers Empty,33573,27895
US-Mexico Border,01/01/2004 12:00:00 AM,Rail Containers Empty,31595,21878
US-Canada Border,01/01/2004 12:00:00 AM,Pedestrians,30463,59476
US-Mexico Border,01/01/2004 12:00:00 AM,Buses,23859,21708
US-Mexico Border,01/01/2004 12:00:00 AM,Rail Containers Full,18008,18424
US-Canada Border,01/01/2004 12:00:00 AM,Train Passengers,13906,20531
US-Canada Border,01/01/2004 12:00:00 AM,Buses,10534,14260
US-Canada Border,01/01/2004 12:00:00 AM,Trains,2720,2778
US-Mexico Border,01/01/2004 12:00:00 AM,Train Passengers,1116,1209
US-Mexico Border,01/01/2004 12:00:00 AM,Trains,654,594
US-Mexico Border,12/01/2003 12:00:00 AM,Personal Vehicle Passengers,18080733,17652109
US-Mexico Border,12/01/2003 12:00:00 AM,Personal Vehicles,7896957,7027810
US-Mexico Border,12/01/2003 12:00:00 AM,Pedestrians,4596477,3827706
US-Canada Border,12/01/2003 12:00:00 AM,Personal Vehicle Passengers,4523405,6978821
US-Canada Border,12/01/2003 12:00:00 AM,Personal Vehicles,2193652,2990646
US-Canada Border,12/01/2003 12:00:00 AM,Trucks,500516,540239
US-Canada Border,12/01/2003 12:00:00 AM,Truck Containers Full,420806,367640
US-Mexico Border,12/01/2003 12:00:00 AM,Trucks,338505,341113
US-Mexico Border,12/01/2003 12:00:00 AM,Bus Passengers,308910,272739
US-Canada Border,12/01/2003 12:00:00 AM,Bus Passengers,236257,351763
US-Mexico Border,12/01/2003 12:00:00 AM,Truck Containers Full,207978,182994
US-Mexico Border,12/01/2003 12:00:00 AM,Truck Containers Empty,138143,145251
US-Canada Border,12/01/2003 12:00:00 AM,Rail Containers Full,117567,84883
US-Canada Border,12/01/2003 12:00:00 AM,Truck Containers Empty,73240,62188
US-Canada Border,12/01/2003 12:00:00 AM,Rail Containers Empty,38320,27785
US-Canada Border,12/01/2003 12:00:00 AM,Pedestrians,35722,59726
US-Mexico Border,12/01/2003 12:00:00 AM,Rail Containers Empty,32888,21762
US-Mexico Border,12/01/2003 12:00:00 AM,Buses,25282,21671
US-Mexico Border,12/01/2003 12:00:00 AM,Rail Containers Full,17982,18428
US-Canada Border,12/01/2003 12:00:00 AM,Train Passengers,14959,20589
US-Canada Border,12/01/2003 12:00:00 AM,Buses,10418,14300
US-Canada Border,12/01/2003 12:00:00 AM,Trains,2882,2777
US-Mexico Border,12/01/2003 12:00:00 AM,Train Passengers,1059,1210
US-Mexico Border,12/01/2003 12:00:00 AM,Trains,652,594
US-Mexico Border,11/01/2003 12:00:00 AM,Personal Vehicle Passengers,17022290,17658809
